place,postCode
Adhartal,482004
Agasaud,482002
Amahinota,483053
Amkhera,482004
Archha,482002
Badkheda,483220
Baghraji,482001
Bai Ka Bagicha,482001
Barbati,482021
Barela,483001
Bargi,482051
Bargi  Ipc,482008
Bargi Nagar,482056
Baroda,483220
Baroda Chhedi,483053
Belkhadu,482002
Bheraghat,483053
Bilhari,482020
Chargawan,482003
Chhartarpur,483220
Dehri Khurd,482001
Deori Patpara,483001
Dhanpuri,483001
Dhanwahi,482001
Dharampura,482003
Dixitpura,482002
Engineering College,482011
Gangai Badkheda,482003
Gangai Bijori,482003
Gangai Padaria,482001
Ganjipura,482002
Garha,482003
Garha Bazar,482003
Garha Phatak,482002
Gauraiyaghat,482021
Ghat Piparia,482003
Gohalpur,482002
Gokulpur,482011
Gupteshwar,482001
Gurandi Bazar,482002
Gwarighat,482008
Hanumantal,482002
Harrai,482051
Hathital,482001
High Court,482001
Hinotia Bhoi,483001
Howbagh,482001
I.t.i.,482002
Imlai,482001
Jabalpur Cantt,482001
Jabalpur City,482002
Jabalpur Factory,482011
Jeewan Bima Nigam,482001
Jonesganj,482002
Kailwas,482021
Kaladehi,482051
Kaladumar,483220
Kamala Nehru Nagar,482002
Kanchanpur,482004
Karmeta,482002
Kasturba Nagar,482001
Khajri,482004
Khamaria,482005
Khamaria Neemkheda,482021
Khirahani,483220
Khukkham,483001
Kutchery,482001
Lamheta Ghat,482003
Lordganj,482002
Luhkari,482001
Maharajpur,482004
Majhita,483053
Mangela,482002
Medical College,482003
Miloniganj,482002
Mohas,482051
Motinala,482002
Nagar Nigam,482002
Napier Town,482001
Nichi,482003
Nigri,482051
Pachkuiyan,482002
Padaria,483220
Padwar,483001
Panagar,483220
Perfect Pottories,482008
Pindrai Barha,482021
Piparia,482001
Polipathar,482008
Prem Nagar,482001
R.f.r.c.,482021
Raipura,483220
Ranjhi Azad Nagar,482005
Reewan,482051
Regimental Bazar,482001
Richhai,482010
Sagada Jhapni,482021
Sahajpuri,482056
Sarsawa,483220
Sarswati Vihar,482001
Shobhapur,482009
Simaria,482002
Singod,483220
Sonpur,482005
Subhas Nagar,482004
Sukha,482002
Sukha Bharatpur,482003
Sukri,482051
Sundarpur,482005
Telegraph Work Shop,482002
Temarbhita,482001
Tilsani,482001
Tilwara Ghat,482003
Tinsi,482051
Tripuri,483053
Umaria Choubey,483220
Umaria Kudari,483001
Umaria Pathra,483220
Vehicle Factory,482009
Vidyut Nagar,482008
Wright Town,482002
